0xab	027EA
0xbb	027EB
0xc4	00041
0xc6	00041
0xcb	00045
0xcc	00049
0xcd	00049
0xce	00049
0xcf	00049
0xd8	02205
0xdc	0222A
0xde	00020
0xe0	00061
0xe1	00061
0xe5	00061
0xe6	00061
0xe7	00063
0xe8	00065
0xe9	00065
0xeb	00065
0xec	00069
0xed	00069
0xee	00069
0xf2	0006F
0xf3	0006F
0xf4	0006F
0xf8	02205
0xf9	00075
0xfa	00075
0xfc	00075
0xfd	00079
0xfe	00070
0x101	00061
0x103	00061
0x113	00061
0x12b	00069
0x14d	0006F
0x16b	00075
0x16d	00075
0x177	00079
0x17d	0005A
0x18e	02203
0x192	00066
0x1c0	0007C
0x1ce	00061
0x1d0	00069
0x14d	00075
0x251	00061
0x25b	003B5
0x261	00067
0x283	0222B
0x2b9	02032
0x2c2	0003C
0x2c3	0003E
0x2c4	02227
0x2c8	02032
0x2c9	00304
0x2ca	02032
0x412	00042
0x413	00393
0x417	00033
0x41b	0006E
0x41f	0006E
0x420	00050
0x421	00043
0x424	02205
0x430	00061
0x433	00393
0x43b	0006E
0x440	00070
0x442	00054
0x443	00079
0x444	02205
0x66d	02217
0x2011	0002D
0x2018	0x27
0x2019	0x27
0x201a	0002C
0x201c	0x22
0x201d	0x22
0x2027	00020
0x203a	0003E
0x2053	0007E
0x2105	00025
0x2474	0x2460
0x2475	0x2461
0x2476	0x2462
0x2477	0x2463
0x2478	0x2464
0x2479	0x2465
0x2500	0002D
0x2501	0002D
0x2502	0007C
0x2503	0007C
0x2504	02026
0x2505	02026
0x2510	000AC
0x2511	000AC
0x2513	000AC
0x2534	022A5
0x2550	0003D
0x2551	02225
0x2571	0002F
0x2582	0002D
0x258f	0007C
0x2780	0x2460
0x2781	0x2461
0x2782	0x2462
0x300c	0x3014
0x300e	0x3014
0x3010	0x3014
0x3016	0x3014
0x300d	0x3015
0x300f	0x3015
0x3011	0x3015
0x3017	0x3015
0x301c	0007E
0x301e	02033
0x304f	00020
0x3050	00020
0x30e7	02203
0x30e8	02203
0x30fb	0307
0xfe30	0003A
0xfe31	0007C
0xfe33	0007C
0xfe35	02040
0xfe41	000AC
0xfe50	0002C
0xfe51	0x3001
0xfe52	0x3002
0xfe54	0003B
0xfe55	0003A
0xfe56	0003F
0xfe59	00028
0xfe5a	00029
0xfe5b	0007B
0xfe5c	0007D
0xfe5d	0x3014
0xfe5e	0x3015
0xfe60	00026
0xfe6a	00025
0xff61	00020
0xff64	0x3001
0xffa1	000AC
0xffe2	000AC
000AF	0304
000B4	0301
002C6	0302
002C7	030C
002D8	0306
002D9	0307
002DA	030A
002DC	0303
0x1d4	00075
0xf6	0006F
0xfffd	00020
